english,coptic,dialect,source,quality
"All the things that it is fitting to write in this letter and which we have not written, they are all written on the papers written from the beginning.",ⲛⲕⲟⲟⲩⲉ ⲇⲉ ⲧⲏⲣⲟⲩ ⲉⲧⲉϣϣⲉ ⲉⲥⲁϩⲟⲩ ⲉϩⲣⲁⲓ ⲉⲧⲉⲓⲉⲡⲓⲥⲧⲟⲗⲏ · ⲁⲩⲱ ⲙⲡⲛⲥⲁϩⲟⲩ · ⲉⲓⲥϩⲏⲏⲛⲉ ⲥⲉⲥⲏϩ ⲧⲏⲣⲟⲩ ϩⲛⲛⲉⲭⲁⲣⲧⲏⲥ ⲉⲧⲥⲏϩ ϫⲓⲛⲛϣⲟⲣⲡ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0011 (CC BY 4.0),gold
"The holy words of Our Lord Jesus written in the Scriptures and in this letter, I will tell you what they are like.",ⲛϣⲁϫⲉ ⲇⲉ ⲉⲧⲟⲩⲁⲁⲃ ⲛⲧⲉⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲉⲧⲥⲏϩ ϩⲛⲛⲉⲅⲣⲁⲫⲏ · ⲁⲩⲱ ϩⲛϯⲉⲡⲓⲥⲧⲟⲗⲏ ϯⲛⲁⲧⲁⲙⲱⲧⲛ ϫⲉⲉⲩⲧⲛⲧⲱⲛ ⲉⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0012 (CC BY 4.0),gold
They are like candles that burn in places of darkness.,ⲉⲩⲧⲛⲧⲱⲛ ⲉϩⲉⲛϩⲏⲃⲥ ⲉⲁⲩϫⲉⲣⲱⲟⲩ ϩⲛϩⲉⲛⲙⲁ ⲛⲕⲁⲕⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0013 (CC BY 4.0),gold
And they are like the light of day.,ⲁⲩⲱ ⲉⲩⲧⲛⲧⲱⲛ ⲉⲡⲟⲩⲟⲉⲓⲛ ⲙⲡⲉϩⲟⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0014 (CC BY 4.0),gold
"And the mindless, whose acts of stupidity abound, are like bats.",ⲁⲩⲱ ⲛⲁⲧϩⲏⲧ ⲉⲧⲣϩⲟⲩⲟ ⲉⲙⲁⲧⲉ ϩⲛϩⲉⲛⲙⲛⲧⲥⲟϭ · ⲉⲩⲧⲛⲧⲱⲛ ⲉϩⲉⲛⲛⲩⲕⲧⲉⲣⲓⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0015 (CC BY 4.0),gold
"And like those who are struck down or run in to the darkness or places where bats are dug deep, namely bats, whenever they see the light of the lamps' flame and the light of day,",ⲁⲩⲱ ⲛⲧϩⲉ ⲉⲧⲉϣⲁⲩⲣⲱϩⲧ ⲉⲡⲉⲥⲏⲧ ⲏ ⲛⲥⲉⲡⲱⲧ ⲉϩⲟⲩⲛ ⲉⲡⲕⲁⲕⲉ · ⲏ ⲉϩⲣⲁⲓ ⲉϩⲉⲛⲙⲁ ⲉⲩϣⲟⲕϩ ⲛϭⲓϩⲉⲛⲛⲩⲕⲧⲉⲣⲓⲥ ⲉⲧⲉϭⲓⲛϭⲗⲱ ⲡⲉ · ϩⲟⲧⲁⲛ ⲉⲩϣⲁⲛⲛⲁⲩ ⲉⲡⲟⲩⲟⲉⲓⲛ ⲙⲡϣⲁϩ ⲛϩⲉⲛϩⲏⲃⲥ ⲙⲛⲡⲟⲩⲟⲉⲓⲛ ⲙⲡⲉϩⲟⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0016 (CC BY 4.0),gold
"in the same way the mindless and excessively stupid will be struck down or into passions with their desires and the darkness of their false knowledge in the face of all the words of Our Lord, not only those from the Scriptures, or in this letter, but in the face of all the other words written in these documents from the beginning.",ⲧⲁⲓ ⲟⲛ ⲧⲉ ⲧϩⲉ ⲉⲧⲉⲣⲉⲛⲁⲧϩⲏⲧ ⲙⲛⲛⲉⲧⲣϩⲟⲩⲟ ⲉⲙⲁⲧⲉ ϩⲛϩⲉⲛⲙⲛⲧⲥⲟϭ ⲛⲁⲣⲱϩⲧ ⲉⲡⲉⲥⲏⲧ ⲏ ⲉϩⲣⲁⲓ ⲉⲛⲉⲩⲡⲁⲑⲟⲥ ⲙⲛⲛⲉⲩⲟⲩⲱϣ · ⲙⲛⲡⲕⲁⲕⲉ ⲙⲡⲉⲩⲥⲟⲟⲩⲛ ⲛⲛⲟⲩϫ ⲛⲛⲁϩⲣⲛⲛϣⲁϫⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲉⲛϫⲟⲉⲓⲥ · ⲉⲓⲧⲉ ⲛⲉⲃⲟⲗ ϩⲛⲛⲉⲅⲣⲁⲫⲏ · ⲉⲓⲧⲉ ⲛⲉⲃⲟⲗ ϩⲛⲧⲉⲓⲉⲡⲓⲥⲧⲟⲗⲏ ⲙⲙⲁⲧⲉ ⲁⲛ · ⲁⲗⲗⲁ ⲛⲛⲁϩⲣⲛⲛⲕⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲉⲧⲥⲏϩ ϩⲣⲁⲓ ϩⲛⲛⲉⲓⲭⲁⲣⲧⲏⲥ ⲉⲧⲥⲏϩ ϫⲓⲛⲛϣⲟⲣⲡ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0017 (CC BY 4.0),gold
"Again, the holy words of Our Lord Jesus are like the light of lamps in the hands of wise men.",ⲡⲁⲗⲓⲛ ⲇⲉ ⲟⲛ ⲉⲩⲧⲛⲧⲱⲛ ⲛϭⲓⲛϣⲁϫⲉ ⲉⲧⲟⲩⲁⲁⲃ ⲛⲧⲉⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲉⲡⲟⲩⲟⲉⲓⲛ ⲛϩⲉⲛϩⲏⲃⲥ ⲉⲩϩⲛⲛϭⲓϫ ⲛⲟⲩⲣⲱⲙⲉ ⲛⲥⲁⲃⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0018 (CC BY 4.0),gold
They illuminate him in places of darkness as he does his work.,ⲉⲩⲣⲟⲩⲟⲉⲓⲛ ⲉⲣⲟϥ ϩⲛϩⲉⲛⲙⲁ ⲛⲕⲁⲕⲉ ⲉϥⲉⲓⲣⲉ ⲛⲛⲉϥϩⲃⲏⲩⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0019 (CC BY 4.0),gold
As it is written: 'Your word is the lamp for my feet.',ⲕⲁⲧⲁⲧϩⲉ ⲉⲧⲥⲏϩ ϫⲉⲡϩⲏⲃⲥ ⲛⲛⲁⲟⲩⲉⲣⲏⲧⲉ : ⲉⲡⲉⲕϣⲁϫⲉ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0020 (CC BY 4.0),gold
They are like the light of day,ⲁⲩⲱ ⲉⲩⲧⲛⲧⲱⲛ ⲉⲡⲟⲩⲟⲉⲓⲛ ⲙⲡⲉϩⲟⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0021 (CC BY 4.0),gold
"and the one who pays attention to them will not stumble, as it written: 'The one who walks in the day does not stumble.'",ⲁⲩⲱ ⲡⲉⲧϯ ⲛϩⲧⲏϥ ⲉⲣⲟⲟⲩ ⲛϥⲛⲁϫⲓϫⲣⲟⲡ ⲁⲛ ⲕⲁⲧⲁⲛⲉⲅⲣⲁⲫⲏ ϫⲉⲡⲉⲧⲙⲟⲟϣⲉ ϩⲛⲡⲉϩⲟⲟⲩ · ⲙⲉϥϫⲓϫⲣⲟⲡ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0022 (CC BY 4.0),gold
"For this reason, blessed are the children of light, that is, those who walk in the openness of submission and complete obedience and good.",ⲉⲧⲃⲉⲡⲁⲓ ⲛⲁⲓⲁⲧⲟⲩ ⲛⲛϣⲏⲣⲉ ⲙⲡⲟⲩⲟⲉⲓⲛ ⲉⲧⲉⲛⲉⲧⲙⲟⲟϣⲉ ⲛⲉ ϩⲛⲧⲡⲁⲣⲣⲏⲥⲓⲁ ⲛϩⲩⲡⲟⲧⲁⲅⲏ ⲛⲓⲙ ϩⲓⲙⲛⲧⲥⲧⲙⲏⲧ ⲛⲓⲙ ϩⲓϩⲱⲃ ⲛⲓⲙ ⲛⲁⲅⲁⲑⲟⲛ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0023 (CC BY 4.0),gold
"Woe to the children of darkness, that is, those who walk in complete disobedience and ignorance.",ⲟⲩⲟⲓ ⲇⲉ ⲛⲛϣⲏⲣⲉ ⲙⲡⲕⲁⲕⲉ ⲉⲧⲉⲛⲉⲧⲙⲟⲟϣⲉ ⲛⲉ ϩⲛⲙⲛⲧⲁⲧⲥⲱⲧⲙ ⲛⲓⲙ ϩⲓⲙⲛⲧⲁⲧⲥⲃⲱ ⲛⲓⲙ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0024 (CC BY 4.0),gold
"They rush in and up to darkness in every iniquity, like the bats which rush in and up to a very deep place of darkness.",ⲉⲩⲡⲏⲧ ⲉϩⲟⲩⲛ ⲏ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁⲕⲉ ⲛϩⲱⲃ ⲛⲓⲙ ⲉϥϩⲟⲟⲩ ⲛⲧϩⲉ ⲛⲛⲛⲩⲕⲧⲉⲣⲓⲥ ⲉⲧⲡⲏⲧ ⲉϩⲟⲩⲛ ⲏ ⲉϩⲣⲁⲓ ⲉϩⲉⲛⲙⲁ ⲛⲕⲁⲕⲉ ⲉⲩϣⲟⲕϩ ⲉⲙⲁⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0025 (CC BY 4.0),gold
"Why did the Lord God say through His saints: 'If your enemy too is hungry, feed him and if he is thirsty, give him to drink'?",ⲁϩⲣⲟϥ ⲁϥϫⲟⲟⲥ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ ϫⲉⲉⲣϣⲁⲛⲡⲉⲕϫⲁϫⲉ ϩⲕⲟ ⲙⲁⲧⲙⲙⲟϥ ⲁⲩⲱ ⲉϥϣⲁⲛⲉⲓⲃⲉ ⲙⲁⲧⲥⲟϥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0026 (CC BY 4.0),gold
"Why too did He say: 'If your brother does not listen to you, let him be a gentile and tax collector to you'?",ⲉⲧⲃⲉⲟⲩ ϩⲱⲱϥ ⲁϥϫⲟⲟⲥ ϫⲉⲉⲣϣⲁⲛⲧⲙⲡⲉⲕⲥⲟⲛ ⲥⲱⲧⲙ ⲛⲥⲱⲕ ⲙⲁⲣⲉϥϣⲱⲡⲉ ⲛⲁⲕ ⲛⲧϩⲉ ⲛⲟⲩϩⲉⲑⲛⲓⲕⲟⲥ ⲙⲛⲟⲩⲧⲉⲗⲱⲛⲏⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0027 (CC BY 4.0),gold
"But in saying this, do every good thing to your enemies, according to the commandment, He wishes the good person of God to achieve goodness through the wickedness of the wicked person who is allotted to his sinning, Satan.",ϩⲙⲡⲧⲣⲉϥϫⲟⲟⲥ ⲇⲉ ϫⲉⲣⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲛⲓⲙ ⲛⲛⲉⲧⲛϫⲓϫⲉⲉⲩⲉ ⲕⲁⲧⲁⲧⲉⲛⲧⲟⲗⲏ · ⲉϥⲟⲩⲱϣ ⲉⲧⲣⲉⲡⲁⲅⲁⲑⲟⲥ ⲛⲣⲱⲙⲉ ⲛⲧⲉⲡⲛⲟⲩⲧⲉ ϫⲱⲕ ⲉⲃⲟⲗ ⲛⲟⲩⲙⲛⲧⲁⲅⲁⲑⲟⲥ ϩⲓⲧⲛⲧⲡⲟⲛⲏⲣⲓⲁ ⲙⲡⲡⲟⲛⲏⲣⲟⲥ ⲛⲣⲱⲙⲉ ⲉⲧⲏⲡ ⲉⲡⲣⲉϥⲣⲛⲟⲃⲉ ⲡⲥⲁⲧⲁⲛⲁⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0028 (CC BY 4.0),gold
"For, in place of the wickedness of the wicked person, the goodness of the good person removes the wickedness of the hostile person.",ⲉⲡⲉⲓⲇⲏ ⲉⲡⲙⲁ ⲛⲧⲡⲟⲛⲏⲣⲓⲁ ⲙⲡⲡⲟⲛⲏⲣⲟⲥ ⲛⲣⲱⲙⲉ ϣⲁⲣⲉⲧⲙⲛⲧⲁⲅⲁⲑⲟⲥ ⲙⲡⲁⲅⲁⲑⲟⲥ ⲛⲣⲱⲙⲉ ϥⲓ ⲙⲙⲁⲩ ⲛⲧⲡⲟⲛⲏⲣⲓⲁ ⲙⲡⲣⲱⲙⲉ ⲛϫⲁϫⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0029 (CC BY 4.0),gold
"By repaying a bad deed with a good deed, he achieves the divine nature of God.",ϩⲙⲡⲧⲣⲉⲡⲣⲱⲙⲉ ⲧⲱⲱⲃⲉ ⲛⲟⲩⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲉⲡⲙⲁ ⲛⲟⲩⲡⲉⲧϩⲟⲟⲩ ⲉϣⲁϥϫⲱⲕ ⲉⲃⲟⲗ ⲛⲧⲙⲛⲧⲛⲟⲩⲧⲉ ⲙⲡⲛⲟⲩⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0030 (CC BY 4.0),gold
By repaying a good deed with a bad deed he achieves the godlessness of the godless devil.,ϩⲙⲡⲧⲣⲉⲡⲣⲱⲙⲉ ⲇⲉ ⲧⲱⲱⲃⲉ ⲛⲟⲩⲡⲉⲧϩⲟⲟⲩ ⲉⲡⲙⲁ ⲛⲟⲩⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲉϣⲁϥϫⲱⲕ ⲉⲃⲟⲗ ⲛⲧⲙⲛⲧⲁⲧⲛⲟⲩⲧⲉ ⲙⲡⲁⲧⲛⲟⲩⲧⲉ ⲛⲇⲓⲁⲃⲟⲗⲟⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0031 (CC BY 4.0),gold
